INFO 2025-04-28 21:23:48,866 tests 24776 11248 Setting up ViewTests
INFO 2025-04-28 21:23:48,866 tests 24776 11248 Running test: test_engineer_dashboard_access
INFO 2025-04-28 21:23:49,050 tests 24776 11248 Setting up ViewTests
INFO 2025-04-28 21:23:49,050 tests 24776 11248 Running test: test_team_summary_access_permissions
INFO 2025-04-28 21:23:49,235 tests 24776 11248 Setting up ViewTests
INFO 2025-04-28 21:23:49,235 tests 24776 11248 Running test: test_vote_submission_process
INFO 2025-04-28 21:23:49,427 tests 24776 11248 Setting up PerformanceTests
INFO 2025-04-28 21:23:49,437 tests 24776 11248 PerformanceTests setup complete
INFO 2025-04-28 21:23:49,437 tests 24776 11248 Running test: test_vote_basic_performance
INFO 2025-04-29 08:24:48,964 autoreload 8260 26392 Watching for file changes with StatReloader
INFO 2025-04-29 08:25:14,147 autoreload 27468 16288 Watching for file changes with StatReloader
INFO 2025-04-29 08:25:17,871 basehttp 27468 17916 "GET / HTTP/1.1" 302 0
INFO 2025-04-29 08:25:17,899 basehttp 27468 17916 "GET /login/?next=/ HTTP/1.1" 200 11670
INFO 2025-04-29 08:25:18,076 basehttp 27468 17916 "GET /static/css/style.css HTTP/1.1" 200 13394
WARNING 2025-04-29 08:25:18,334 log 27468 17916 Not Found: /favicon.ico
WARNING 2025-04-29 08:25:18,334 basehttp 27468 17916 "GET /favicon.ico HTTP/1.1" 404 5631
INFO 2025-04-29 08:25:21,570 basehttp 27468 17916 "POST /login/?next=/ HTTP/1.1" 200 11876
INFO 2025-04-29 08:25:23,014 basehttp 27468 17916 "GET /register/ HTTP/1.1" 200 20073
INFO 2025-04-29 08:25:28,595 basehttp 27468 17916 "GET /login/?next=/ HTTP/1.1" 200 11670
INFO 2025-04-29 08:25:56,122 basehttp 27468 17916 "POST /login/?next=/ HTTP/1.1" 200 11876
WARNING 2025-04-29 08:25:56,199 log 27468 17916 Not Found: /favicon.ico
WARNING 2025-04-29 08:25:56,200 basehttp 27468 17916 "GET /favicon.ico HTTP/1.1" 404 5631
INFO 2025-04-29 08:25:58,871 basehttp 27468 17916 "POST /login/?next=/ HTTP/1.1" 200 11875
INFO 2025-04-29 08:26:01,459 basehttp 27468 17916 "POST /login/?next=/ HTTP/1.1" 200 11877
INFO 2025-04-29 08:26:04,026 basehttp 27468 17916 "POST /login/?next=/ HTTP/1.1" 200 11872
INFO 2025-04-29 08:26:07,080 basehttp 27468 17916 "POST /login/?next=/ HTTP/1.1" 200 11876
INFO 2025-04-29 08:26:08,079 basehttp 27468 17916 "GET /register/ HTTP/1.1" 200 20073
INFO 2025-04-29 08:27:37,125 autoreload 7840 27588 Watching for file changes with StatReloader
INFO 2025-04-29 08:27:39,694 basehttp 7840 27864 "GET /register/ HTTP/1.1" 200 20278
WARNING 2025-04-29 08:27:39,799 log 7840 27864 Not Found: /favicon.ico
WARNING 2025-04-29 08:27:39,800 basehttp 7840 27864 "GET /favicon.ico HTTP/1.1" 404 5631
INFO 2025-04-29 08:27:56,288 basehttp 7840 27864 "GET /ajax/load-teams/?department=2 HTTP/1.1" 200 74
INFO 2025-04-29 08:27:57,532 basehttp 7840 27864 "POST /register/ HTTP/1.1" 302 0
INFO 2025-04-29 08:27:57,581 basehttp 7840 27864 "GET / HTTP/1.1" 200 142179
INFO 2025-04-29 08:28:00,938 basehttp 7840 27864 "GET /vote-all/4/ HTTP/1.1" 200 127758
INFO 2025-04-29 08:28:02,095 basehttp 7840 27864 "GET / HTTP/1.1" 200 141784
INFO 2025-04-29 08:28:02,876 basehttp 7840 27864 "GET /progress-chart/ HTTP/1.1" 200 69315
INFO 2025-04-29 08:28:09,354 basehttp 7840 27864 "GET / HTTP/1.1" 200 141784
INFO 2025-04-29 08:28:13,293 basehttp 7840 27864 "GET /vote/4/1/ HTTP/1.1" 200 27138
INFO 2025-04-29 08:28:15,910 basehttp 7840 27864 "POST /vote/4/1/ HTTP/1.1" 302 0
INFO 2025-04-29 08:28:15,949 basehttp 7840 27864 "GET / HTTP/1.1" 200 143527
INFO 2025-04-29 08:28:17,890 basehttp 7840 27864 "GET /vote/4/2/ HTTP/1.1" 200 27141
INFO 2025-04-29 08:28:19,762 basehttp 7840 27864 "POST /vote/4/2/ HTTP/1.1" 302 0
INFO 2025-04-29 08:28:19,805 basehttp 7840 27864 "GET / HTTP/1.1" 200 145071
INFO 2025-04-29 08:28:21,904 basehttp 7840 27864 "GET /vote/4/3/ HTTP/1.1" 200 27134
INFO 2025-04-29 08:28:23,753 basehttp 7840 27864 "POST /vote/4/3/ HTTP/1.1" 302 0
INFO 2025-04-29 08:28:23,792 basehttp 7840 27864 "GET / HTTP/1.1" 200 146645
INFO 2025-04-29 08:28:32,782 basehttp 7840 27864 "GET /vote/4/4/ HTTP/1.1" 200 27144
INFO 2025-04-29 08:28:34,991 basehttp 7840 27864 "POST /vote/4/4/ HTTP/1.1" 302 0
INFO 2025-04-29 08:28:35,050 basehttp 7840 27864 "GET / HTTP/1.1" 200 148222
INFO 2025-04-29 08:28:43,285 basehttp 7840 27864 "GET /vote-all/4/ HTTP/1.1" 200 127814
INFO 2025-04-29 08:29:38,925 basehttp 7840 27864 "POST /vote-all-submit/4/ HTTP/1.1" 302 0
INFO 2025-04-29 08:29:38,970 basehttp 7840 27864 "GET / HTTP/1.1" 200 157078
